Gene	Alteration	Origin	Entities	Comments	Reference	RefGene Group
ERBB4	Missense; Nonsense; ; ; ; 	Somatic; Germline	[melanoma, gastric, NSCLC]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ERC1	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, Spitzoid tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ERCC2	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ERCC3	Missense; Splice site; ; ; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ERCC4	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ERCC5	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ERG	Translocation; Amplification; ; ; ; 	Somatic; 	[Ewing sarcoma, prostate, AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ESR1	Missense; ; ; ; ; 	Somatic; 	[breast]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ETNK1	Missense; ; ; ; ; 	Somatic; 	[aCML, CMML, SM-AHD, HES]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ETV1	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma, prostate]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ETV4	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma, prostate carcinoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ETV5	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ETV6	Translocation; ; ; ; ; 	Somatic; 	[congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EWSR1	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EXT1	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [exostoses, osteosarcoma]	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EXT2	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [exostoses, osteosarcoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EZH2	Missense; ; ; ; ; 	Somatic; 	[DLBCL]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EZR	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FADD	Amplication; ; ; ; ; 	Somatic; Germline	[breast cancer, HNSCC]; [lymphoma]		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FAM131B	Translocation; ; ; ; ; 	Somatic; 	[pilocytic astrocytoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FAM135B	Missense; ; ; ; ; 	Somatic; 	[SCLC]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FAM47C	Missense; ; ; ; ; 	Somatic; 	[melanoma, clear cell sarcoma of soft parts, SCLC]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FANCA	Deletion; Missense; Nonsense; Frameshift; Splice site; 	; Germline	[]; [AML, leukaemia]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FANCC	Deletion; Missense; Nonsense; Frameshift; Splice site; 	; Germline	[]; [AML, leukaemia]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FANCD2	Deletion; Missense; Nonsense; Frameshift; ; 	; Germline	[]; [AML, leukaemia]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FANCE	Nonsense; Frameshift; Splice site; ; ; 	; Germline	[]; [AML, leukaemia]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FANCF	Nonsense; Frameshift; ; ; ; 	; Germline	[]; [AML, leukaemia]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FANCG	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [AML, leukaemia]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FAS	Missense; ; ; ; ; 	Somatic; 	[TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FAT1	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma]; [pancreatic]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FAT3	Missense; ; ; ; ; 	Somatic; 	[SCC, colon adenocarcinoma, gastric adenocarcinoma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FAT4	Missense; Nonsense; ; ; ; 	Somatic; 	[lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
