Gene	Alteration	Origin	Entities	Comments	Reference	RefGene Group
NR4A3	Translocation; ; ; ; ; 	Somatic; 	[extraskeletal myxoid chondrosarcoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NRAS	Missense; ; ; ; ; 	Somatic; 	[melanoma, MM, AML, thyroid]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NRG1	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NSD1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NSD2	Translocation; ; ; ; ; 	Somatic; 	[MM]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NSD3	Translocation; Amplification; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NT5C2	Missense; ; ; ; ; 	Somatic; 	[relapse ALL]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NTHL1	Nonsense; Splice site; ; ; ; 	; Germline	[]; [CRC]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NTRK1	Translocation; Amplification; ; ; ; 	Somatic; 	[papillary thyroid, Spitzoid tumour]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NTRK3	Translocation; ; ; ; ; 	Somatic; 	[congenital fibrosarcoma, secretory breast]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NUMA1	Translocation; ; ; ; ; 	Somatic; 	[APL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NUP214	Translocation; ; ; ; ; 	Somatic; 	[AML, T-ALL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NUP98	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NUTM1	Translocation; ; ; ; ; 	Somatic; 	[lethal midline carcinoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NUTM2B	Translocation; ; ; ; ; 	Somatic; 	[endometrial stromal sarcoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NUTM2D	Translocation; ; ; ; ; 	Somatic; 	[endometrial stromal sarcoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
OLIG2	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
OMD	Translocation; ; ; ; ; 	Somatic; 	[aneurysmal bone cyst]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
P2RY8	Translocation; ; ; ; ; 	Somatic; 	[B-ALL, Down syndrome associated ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PABPC1	Missense; Frameshift; ; ; ; 	Somatic; 	[HNSCC, biliary tract carcinoma]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PAFAH1B2	Translocation; ; ; ; ; 	Somatic; 	[MLCLS]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PALB2	Frameshift; Nonsense; Missense; ; ; 	; Germline	[]; [Wilms tumour, medulloblastoma, AML ,breast]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PATZ1	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PAX3	Translocation; ; ; ; ; 	Somatic; 	[alveolar rhabdomyosarcoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PAX5	Translocation; Missense; Deletion; Frameshift; Splice site; 	Somatic; 	[NHL, ALL, B-ALL]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PAX7	Translocation; ; ; ; ; 	Somatic; 	[alveolar rhabdomyosarcoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PAX8	Translocation; ; ; ; ; 	Somatic; 	[follicular thyroid]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PBRM1	Missense; Nonsense; Frameshift; Splice site; Deletion; Other	Somatic; 	[clear cell renal carcinoma, breast]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PBX1	Translocation; ; ; ; ; 	Somatic; 	[pre B-ALL, myoepithelioma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PCBP1	Missense; ; ; ; ; 	Somatic; 	[CRC]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PCM1	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, CML, MPN]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PDCD1LG2	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PDE4DIP	Translocation; ; ; ; ; 	Somatic; 	[MPN]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PDGFB	Translocation; ; ; ; ; 	Somatic; 	[DFSP]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PDGFRA	Missense; Other; Translocation; ; ; 	Somatic; Germline	[GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma]; [GIST]	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PDGFRB	Translocation; ; ; ; ; 	Somatic; 	[MPN, AML, CMML, CML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PER1	Translocation; ; ; ; ; 	Somatic; 	[AML, CMML]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PHF6	Frameshift; Nonsense; Splice site; Missense; ; 	Somatic; 	[ETP ALL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PHOX2B	Missense; Frameshift; ; ; ; 	Somatic; Germline	[neuroblastoma]; [neuroblastoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PICALM	Translocation; ; ; ; ; 	Somatic; 	[T-ALL, AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PIK3CA	Missense; ; ; ; ; 	Somatic; 	[colorectal, gastric, glioblastoma, breast]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PIK3CB	Missense; ; ; ; ; 	Somatic; 	[SCC, NSCLC]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PIK3R1	Missense; Frameshift; Other; ; ; 	Somatic; 	[glioblastoma, ovarian, colorectal]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PIM1	Translocation; Missense; ; ; ; 	Somatic; 	[NHL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PLAG1	Translocation; ; ; ; ; 	Somatic; 	[salivary adenoma, lipoblastoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PLCG1	Missense; ; ; ; ; 	Somatic; 	[angiosarcoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PML	Translocation; ; ; ; ; 	Somatic; 	[APL, ALL]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PMS1	Missense; Nonsense; ; ; ; 	; Germline	[]; [colorectal, endometrial, ovarian]		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PMS2	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [colorectal, endometrial, ovarian, medulloblastoma, glioma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
POLD1	Missense; ; ; ; ; 	Somatic; Germline	[CRC]; [CRC]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
POLE	Missense; ; ; ; ; 	Somatic; Germline	[colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer]; [colorectal cancer susceptibility]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
POLG	Nonsense; Other; ; ; ; 	Somatic; 	[CRC]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
POLQ	Missense; ; ; ; ; 	Somatic; Germline	[oral SCC]; [breast cancer]	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
POLR2A	Missense; Other; ; ; ; 	Somatic; 	[meningioma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
POT1	Missense; Nonsense; ; ; ; 	Somatic; 	[CLL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
POU2AF1	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
POU5F1	Translocation; ; ; ; ; 	Somatic; 	[sarcoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PPARG	Translocation; ; ; ; ; 	Somatic; 	[follicular thyroid]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PPFIBP1	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour, inflammatory myofibroblastic tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PPM1D	Amplication; Missense; Nonsense; Frameshift; ; 	Somatic; 	[glioma, ovarian cancer, breast cancer]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PPP2R1A	Missense; ; ; ; ; 	Somatic; 	[clear cell ovarian carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PPP6C	Missense; Nonsense; ; ; ; 	Somatic; 	[melanoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRCC	Translocation; ; ; ; ; 	Somatic; 	[papillary renal]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRDM1	Deletion; Nonsense; Missense; Frameshift; Splice site; 	Somatic; 	[DLBCL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRDM16	Translocation; ; ; ; ; 	Somatic; 	[MDS, AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRDM2	Other; Frameshift; ; ; ; 	Somatic; 	[glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PREX2	Missense; Nonsense; ; ; ; 	Somatic; 	[melanoma, pancreatic ductal adenocarcinoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRF1	Missense; ; ; ; ; 	; Germline	[]; [various leukaemia, lymphoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRKACA	Translocation; Missense; Nonsense; ; ; 	Somatic; 	[fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRKAR1A	Translocation; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[papillary thyroid]; [myxoma, endocrine, papillary thyroid]	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRKCB	Missense; ; ; ; ; 	Somatic; 	[adult T-cell lymphoma-leukaemia]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRKD1	Translocation; Missense; ; ; ; 	Somatic; 	[cribriform adenocarcinoma of the minor salivary glands, polymorphous adenocarcinoma of the minor salivary glands]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRPF40B	Frameshift; Nonsense; ; ; ; 	Somatic; 	[melanoma, colon carcinoma, MDS]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PRRX1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PSIP1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTCH1	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[skin basal cell, medulloblastoma]; [skin basal cell, medulloblastoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTEN	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[glioma, prostate, endometrial]; [harmartoma, glioma, prostate, endometrial]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTK6	Missense; Nonsense; ; ; ; 	Somatic; 	[renal, gastric, head and neck, ovarian, others]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTPN11	Missense; ; ; ; ; 	Somatic; 	[JMML, AML, MDS]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTPN13	Missense; Nonsense; ; ; ; 	Somatic; Germline	[lung, NSCLC, gastric, peritoneal carcinomatosis]; [hepatocellular]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTPN6	Missense; ; ; ; ; 	Somatic; 	[DLBCL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTPRB	Nonsense; Missense; Splice site; Frameshift; ; 	Somatic; 	[angiosarcoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTPRC	Missense; Nonsense; Splice site; ; ; 	Somatic; 	[T-ALL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTPRD	Deletion; Nonsense; Missense; ; ; 	Somatic; 	[lung cancer, kidney cancer, HNSCC, glioblastoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTPRK	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PTPRT	Missense; Nonsense; ; ; ; 	Somatic; 	[HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
PWWP2A	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
QKI	Missense; Frameshift; Translocation; ; ; 	Somatic; 	[angiocentric glioma, colorectal cancer]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RABEP1	Translocation; ; ; ; ; 	Somatic; 	[CMML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RAC1	Missense; Frameshift; ; ; ; 	Somatic; 	[melanoma, carcinoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RAD17	Deletion; ; ; ; ; 	Somatic; 	[lymphoma, colon cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RAD21	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[AML, endometrium, colorectal, lung]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RAD51B	Translocation; ; ; ; ; 	Somatic; 	[lipoma, uterine leiomyoma]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RAF1	Translocation; Amplification; ; ; ; 	Somatic; 	[pilocytic astrocytoma, prostate]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RALGDS	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma,]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RANBP2	Translocation; ; ; ; ; 	Somatic; 	[inflammatory myofibroblastic tumour]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RAP1GDS1	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RARA	Translocation; ; ; ; ; 	Somatic; 	[APL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RB1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[retinoblastoma, sarcoma, breast, small cell lung carcinoma]; [retinoblastoma, sarcoma, breast, small cell lung carcinoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RBM10	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[lung adenocarcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RBM15	Translocation; ; ; ; ; 	Somatic; 	[acute megakaryocytic leukaemia]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RECQL4	Nonsense; Frameshift; Splice site; ; ; 	; Germline	[]; [osteosarcoma, skin basal cell, skin sqamous cell]	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
REL	Amplication; ; ; ; ; 	Somatic; 	[Hodgkin lymphoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RET	Translocation; Missense; Nonsense; Frameshift; ; 	Somatic; Germline	[medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour]; [medullary thyroid,  papillary thyroid, pheochromocytoma]	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RFWD3	Deletion; ; ; ; ; 	Somatic; Germline	[lung cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RGPD3	Missense; ; ; ; ; 	Somatic; 	[endometrioid adenocarcinoma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RGS7	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RHOA	Missense; Frameshift; Other; ; ; 	Somatic; 	[diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RHOH	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RMI2	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RNF213	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RNF43	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; 	[cholangiocarcinoma, ovary, pancreas]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ROBO2	Frameshift; ; ; ; ; 	Somatic; 	[colorectal adenocarcinoma, melanoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ROS1	Translocation; ; ; ; ; 	Somatic; 	[glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RPL10	Missense; ; ; ; ; 	Somatic; 	[T-ALL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RPL22	Translocation; ; ; ; ; 	Somatic; 	[AML, CML]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RPL5	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[T-ALL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RPN1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RSPO2	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RSPO3	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RUNX1	Translocation; ; ; ; ; 	Somatic; 	[AML, pre B-ALL, T-ALL]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
RUNX1T1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
S100A7	Missense; Translocation; ; ; ; 	Somatic; 	[melanoma, T-cell lymphoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SALL4	Missense; Frameshift; ; ; ; 	Somatic; 	[colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SBDS	Frameshift; Nonsense; Other; ; ; 	; Germline	[]; [AML, MDS]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SDC4	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SDHA	Missense; Nonsense; ; ; ; 	Somatic; Germline	[GIST, paraganglioma]; [paraganglioma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SDHAF2	Missense; ; ; ; ; 	; Germline	[]; [paraganglioma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SDHB	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [paraganglioma, pheochromocytoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SDHC	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [paraganglioma, pheochromocytoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SDHD	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [paraganglioma, pheochromocytoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
Sep-05	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
Sep-06	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
Sep-09	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SET	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SETBP1	Missense; Translocation; ; ; ; 	Somatic; Germline	[aCML, sAML, MDS/MPN-U, CMML, JMML]; [neuroepithelial tumours]	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SETD1B	Deletion; Frameshift; ; ; ; 	Somatic; 	[CRC, endometrium]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SETD2	Nonsense; Frameshift; Splice site; Missense; ; 	Somatic; 	[clear cell renal carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SETDB1	Frameshift; Missense; ; ; ; 	Somatic; 	[malignant mesothelioma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SF3B1	Missense; ; ; ; ; 	Somatic; 	[myelodysplastic syndrome]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SFPQ	Translocation; ; ; ; ; 	Somatic; 	[papillary renal]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SFRP4	Missense; ; ; ; ; 	Somatic; 	[colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SGK1	Missense; ; ; ; ; 	Somatic; 	[Nodular lymphocyte predominant Hodgkin lymphoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SH2B3	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[MPN, sAML, erythrocytosis, B-ALL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SH3GL1	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SHTN1	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SIRPA	Other; Frameshift; ; ; ; 	Somatic; 	[HNSCC, colorectal cancer, Lung SCC]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SIX1	Missense; ; ; ; ; 	Somatic; 	[Wilms tumour]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SIX2	Missense; ; ; ; ; 	Somatic; 	[Wilms tumour]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SKI	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SLC34A2	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SLC45A3	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SMAD2	Missense; Nonsense; ; ; ; 	Somatic; 	[colorectal carcinoma, hepatocellular carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SMAD3	Missense; ; ; ; ; 	Somatic; 	[colorectal carcinoma, oral squamous cell carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SMAD4	Deletion; Missense; Nonsense; Frameshift; ; 	Somatic; Germline	[colorectal, pancreatic, small intestine]; [gastrointestinal polyp]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SMARCA4	Frameshift; Nonsense; Missense; Splice site; ; 	Somatic; 	[NSCLC, SCCOHT]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SMARCB1	Deletion; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[malignant rhabdoid]; [malignant rhabdoid]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SMARCD1	Nonsense; ; ; ; ; 	Somatic; 	[breast]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SMARCE1	Frameshift; Missense; Nonsense; ; ; 	; Germline	[]; [meningioma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SMC1A	Missense; ; ; ; ; 	Somatic; 	[AML]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
SMO	Missense; ; ; ; ; 	Somatic; 	[skin basal cell]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
